,Unnamed: 0,time,Dishwasher,Home office,Fridge,Wine cellar,Garage door,Barn,Well,Microwave,Living room,temperature,humidity,visibility,apparentTemperature,pressure,windSpeed,cloudCover,windBearing,precipIntensity,dewPoint,precipProbability,Furnace,Kitchen,year,month,day,weekday,weekofyear,hour,minute,timing,use_HO,gen_Sol,Car charger [kW],Water heater [kW],Air conditioning [kW],Home Theater [kW],Outdoor lights [kW],microwave [kW],Laundry [kW],Pool Pump [kW]
0,0,2016-01-01 05:00:00,3.33e-05,0.442633333,0.12415,0.006983333,0.013083333,0.03135,0.001016667,0.004066667,0.001516667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.082616667,0.000566667,2016,1,1,Friday,53,5,0,Morning,0.932833333,0.003483333,0.0130336365001956,0.0002412444031073,0.0137960338510748,0.0005192371876519,0.0014,0.0201472036128264,0.0,0.0007458783961373
1,1,2016-01-01 05:01:00,0.0,0.444066667,0.124,0.006983333,0.013116667,0.0315,0.001016667,0.004066667,0.00165,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.0845333339999999,0.000566667,2016,1,1,Friday,53,5,1,Morning,0.934333333,0.003466667,0.0217694025663422,0.0009781177916714,0.0144874809190891,0.0005433524314976,0.0008,0.0309027926657868,0.0,0.002249031184241
2,2,2016-01-01 05:02:00,1.67e-05,0.446066667,0.123533333,0.006983333,0.013083333,0.031516667,0.001,0.004066667,0.00165,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.083016667,0.0006167,2016,1,1,Friday,53,5,2,Morning,0.931816667,0.003466667,0.0282184735108831,0.0006417274904893,0.0144980259680794,0.0004811689145457,0.0012,0.0,0.0018833216429138,0.0039705949181131
3,3,2016-01-01 05:03:00,1.67e-05,0.446583333,0.123133333,0.006983333,0.013,0.0315,0.001016667,0.004066667,0.001616667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.175416667,0.00065,2016,1,1,Friday,53,5,3,Morning,1.02205,0.003483333,0.0364782057606271,0.0002176767527218,0.0141812609096174,0.0005305204033922,0.0016,0.024038103197619,0.0026102066255591,0.0036730663403624
4,4,2016-01-01 05:04:00,0.000133333,0.446533333,0.12285,0.00685,0.012783333,0.0315,0.001016667,0.004066667,0.001583333,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.300916666,0.000783333,2016,1,1,Friday,53,5,4,Morning,1.1394,0.003466667,0.044294876287751,0.0008439525726157,0.014948804623811,0.0010522994911084,0.002,0.0,0.0024619866391277,0.0050055892924799
5,5,2016-01-01 05:05:00,0.000283333,0.447033333,0.1223,0.006716667,0.012433333,0.03145,0.001016667,0.004066667,0.001583333,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.566916667,0.00105,2016,1,1,Friday,53,5,5,Morning,1.391866667,0.003433333,0.0498809283984039,0.0002951235714662,0.0146141982853008,0.0009474143294959,0.0024,0.0,0.002481183662619,0.0066998274285911
6,6,2016-01-01 05:06:00,0.000283333,0.443266667,0.12205,0.006733333,0.012416667,0.03155,0.001033333,0.004116667,0.001533333,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.5631166670000001,0.0010666669999999,2016,1,1,Friday,53,5,6,Morning,1.366216667,0.00345,0.0579296098166127,0.0005210347769458,0.014509878479841,0.0015745110980139,0.0028,0.0,0.0042213762735031,0.0083099963576042
7,7,2016-01-01 05:07:00,0.00025,0.444283333,0.1218,0.006783333,0.01255,0.031733333,0.001033333,0.0042,0.00155,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.6565000000000001,0.000933333,2016,1,1,Friday,53,5,7,Morning,1.4319,0.003416667,0.0647881314101413,0.0002468525119025,0.0144907081623225,0.002029341684096,0.0031999999999999,0.0,0.006403795646097,0.0097841612280392
8,8,2016-01-01 05:08:00,0.000183333,0.441466667,0.121616667,0.00695,0.012716667,0.031766667,0.001016667,0.0042,0.001566667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.81335,0.000783367,2016,1,1,Friday,53,5,8,Morning,1.6273,0.003416667,0.0728221519197934,0.00053255649503,0.0144255732626414,0.0025241397746981,0.0035999999999999,0.0,0.0065181552386759,0.0112052550938965
9,9,2016-01-01 05:09:00,1.67e-05,0.438733333,0.121633333,0.007233333,0.01335,0.031666667,0.001016667,0.0042,0.001616667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.85405,0.000416667,2016,1,1,Friday,53,5,9,Morning,1.735383333,0.003416667,0.080053742177756,0.0043943547556963,0.0150052167285359,0.0024299613146454,0.0039999999999999,0.0927025510575405,0.0067818321751245,0.0111488167781883
10,10,2016-01-01 05:10:00,5e-05,0.4402,0.12145,0.007433333,0.013583333,0.031666667,0.001,0.0042,0.001566667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.7008333330000001,0.000499967,2016,1,1,Friday,53,5,10,Morning,1.585083333,0.003416667,0.0876205772787778,0.0083876079435959,0.0144775813622644,0.0025581822121038,0.0043999999999999,0.082992961013385,0.006772394675781,0.0125883794681358
11,11,2016-01-01 05:11:00,3.33e-05,0.43695,0.12125,0.007316667,0.013533333,0.03175,0.001,0.0042,0.001566667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.642633334,0.000433333,2016,1,1,Friday,53,5,11,Morning,1.510316667,0.003433333,0.0950867365392501,0.0127013663919255,0.0149389936496884,0.0025377526905161,0.0043999999999999,0.0,0.0067373709009977,0.0128381746511583
12,12,2016-01-01 05:12:00,5e-05,0.43995,0.121033333,0.007233333,0.013516667,0.031783333,0.001,0.004216667,0.001583333,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.59935,0.000466667,2016,1,1,Friday,53,5,12,Morning,1.459866667,0.00345,0.1025894378989707,0.0120800153849113,0.0138747784260544,0.0025887968082539,0.0048,0.0,0.0068207219655575,0.0128434116199877
13,13,2016-01-01 05:13:00,0.0,0.444783333,0.035016667,0.007033333,0.013183333,0.031783333,0.001016667,0.004216667,0.001616667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.16575,0.0008500329999999,2016,1,1,Friday,53,5,13,Morning,0.840583333,0.003433333,0.1092833689409317,0.0120473489811031,0.0154297537024428,0.002565813908264,0.0052,0.0,0.0067156811299457,0.0142339872599509
14,14,2016-01-01 05:14:00,1.67e-05,0.443833333,0.004783333,0.006966667,0.013116667,0.03175,0.001016667,0.004233333,0.00155,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.0827,0.0009666659999999,2016,1,1,Friday,53,5,14,Morning,0.7032,0.003433333,0.1171304430595865,0.0121523429398238,0.0144523900277689,0.0025812171805369,0.0056,0.0,0.0066694920106767,0.0142621279173648
15,15,2016-01-01 05:15:00,0.0,0.307783333,0.004916667,0.00705,0.0131,0.031733333,0.001,0.004216667,0.001583333,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.0843,0.0008833329999999,2016,1,1,Friday,53,5,15,Morning,0.571883333,0.00345,0.1247460085793047,0.0120994865318524,0.0149060368370383,0.0025806316784401,0.006,0.0,0.0066833052632058,0.0142903121420163
16,16,2016-01-01 05:16:00,1.67e-05,0.22045,0.004983333,0.007033333,0.013116667,0.031833333,0.001,0.004233333,0.001616667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.08405,0.0008333,2016,1,1,Friday,53,5,16,Morning,0.485733333,0.00345,0.1318414907522498,0.0162793819360838,0.0139152930751963,0.002578235965847,0.0064,0.0756352061305475,0.0065004551956589,0.0157815783175845
17,17,2016-01-01 05:17:00,0.0,0.26005,0.00495,0.007,0.013083333,0.03185,0.001016667,0.00425,0.001716667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.08275,0.000850033,2016,1,1,Friday,53,5,17,Morning,0.523166667,0.003433333,0.1399248329767081,0.0166919843912503,0.0144738493608025,0.0029302705681079,0.0068,0.0560472556494634,0.0067167765817544,0.0173251523373045
18,18,2016-01-01 05:18:00,0.0,0.272066667,0.00495,0.007033333,0.01315,0.031866667,0.001016667,0.004233333,0.00165,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.0836,0.00085,2016,1,1,Friday,53,5,18,Morning,0.5362,0.00345,0.1473660187802302,0.0203753665227117,0.0148957547828403,0.0029359999439239,0.0072,0.0,0.0065462697704577,0.0173994239257799
19,19,2016-01-01 05:19:00,1.67e-05,0.270066667,0.00495,0.0071,0.01315,0.0319,0.001,0.004233333,0.00175,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.083316667,0.000833333,2016,1,1,Friday,53,5,19,Morning,0.53415,0.00345,0.1550408935587438,0.0208261529216167,0.0146465106806446,0.0029575868932449,0.0076,0.0146931616183747,0.0069226668652529,0.0173145867810013
20,20,2016-01-01 05:20:00,0.0,0.270033333,0.00495,0.007033333,0.013116667,0.031816667,0.001016667,0.004233333,0.001566667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.0836,0.00085,2016,1,1,Friday,53,5,20,Morning,0.533816667,0.00345,0.1623145947089199,0.0201566113142686,0.0144853715046674,0.0035173993741633,0.008,0.0,0.0087593785300038,0.018720522522277
21,21,2016-01-01 05:21:00,1.67e-05,0.259816667,0.00495,0.007033333,0.013083333,0.031733333,0.001016667,0.004216667,0.001666667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.083833333,0.00085,2016,1,1,Friday,53,5,21,Morning,0.523633333,0.00345,0.169864005494753,0.0204054913095718,0.0143646767921359,0.0034282823374817,0.0084,0.0,0.0084031034783297,0.0189856781529736
22,22,2016-01-01 05:22:00,0.0,0.257,0.004983333,0.007066667,0.013133333,0.031683333,0.001016667,0.004233333,0.001516667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.130433333,0.000816633,2016,1,1,Friday,53,5,22,Morning,0.57725,0.003416667,0.176504186193967,0.0203375770964418,0.0149997427101711,0.0034888358561656,0.0088,1.2123437535224637,0.0108383064188696,0.0188455856466054
23,23,2016-01-01 05:23:00,1.67e-05,0.2571,0.005016667,0.007116667,0.0132,0.031716667,0.001016667,0.004216667,0.00165,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.21495,0.0007834,2016,1,1,Friday,53,5,23,Morning,0.679566667,0.003433333,0.1846429182982159,0.0249095902900115,0.0146412537482648,0.0040259087974933,0.0092,1.1880569293208585,0.0108240073648262,0.018798972036713
24,24,2016-01-01 05:24:00,1.67e-05,0.2541,0.0052,0.00725,0.01335,0.031566667,0.001,0.0042,0.001566667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.7299,0.0007833,2016,1,1,Friday,53,5,24,Morning,1.293166667,0.0034,0.1904818190223066,0.0244953421472549,0.0142115305584428,0.0039127239784883,0.0096,1.3035935978365174,0.0108466867788007,0.0204780705472219
25,25,2016-01-01 05:25:00,1.67e-05,0.253933333,0.00555,0.007266667,0.013183333,0.031066667,0.001,0.004166667,0.00165,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.900616667,0.0007834,2016,1,1,Friday,53,5,25,Morning,1.546666667,0.003433333,0.197954761620048,0.0281338424273115,0.0136047153516488,0.0039130805522719,0.01,1.2652501155082956,0.0108428082505846,0.0202550784925405
26,26,2016-01-01 05:26:00,6.67e-05,0.254533333,0.004916667,0.0071,0.012783333,0.030966667,0.001016667,0.010066667,0.0016,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,1.17365,0.000850034,2016,1,1,Friday,53,5,26,Morning,1.82235,0.003416667,0.2065887228260289,0.0280590498405788,0.0150195457976117,0.0040017436872235,0.0104,1.2386827396930038,0.0107548846655387,0.0204168895100845
27,27,2016-01-01 05:27:00,8.33e-05,0.255533333,0.004566667,0.007033333,0.012666667,0.088066667,0.0015,1.040766667,0.001366667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,1.0743166670000002,0.001000033,2016,1,1,Friday,53,5,27,Morning,2.642516667,0.002033333,0.2143295874342695,0.0283275084956362,0.0141088462129562,0.0040746837771923,0.0108,0.0012568661888554,0.0113890194189828,0.0217922979163161
28,28,2016-01-01 05:28:00,0.0001,0.255816667,0.00475,0.007016667,0.012716667,0.113516667,0.001166667,0.004383333,0.001583333,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.9828,0.000950034,2016,1,1,Friday,53,5,28,Morning,1.73935,0.003133333,0.2202703422286898,0.0283084063296591,0.0147785459582132,0.0039280136086418,0.0112,0.0,0.0131028632245055,0.0233251609804971
29,29,2016-01-01 05:29:00,0.00025,0.256033333,0.004566667,0.024716667,0.0125,0.031766667,0.001066667,0.0045,0.001166667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.5167,0.0013,2016,1,1,Friday,53,5,29,Morning,1.1872,0.003083333,0.2281633478286373,0.0284847562534273,0.0145162725937646,0.003951133191216,0.0116,0.0,0.0131209974586558,0.0248153277762839
30,30,2016-01-01 05:30:00,0.000216667,0.256866667,0.004933333,0.101783333,0.012533333,0.03175,0.00105,0.0045,0.00115,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.449283333,0.001300033,2016,1,1,Friday,53,5,30,Morning,1.19095,0.003083333,0.2359442530403271,0.0282031791867144,0.0141703799877142,0.0045425255715011,0.012,0.0013346474876782,0.013359747347633,0.0263629379711056
31,31,2016-01-01 05:31:00,1.67e-05,0.254583333,0.004816667,0.097183333,0.013016667,0.03175,0.001066667,0.0045,0.001166667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.083716667,0.000900034,2016,1,1,Friday,53,5,31,Morning,0.833083333,0.003066667,0.2436314069795717,0.0322164263074735,0.0144460910606069,0.0044641473812039,0.0124,0.034663262303085,0.013179641918515,0.0278945066162755
32,32,2016-01-01 05:32:00,0.0,0.25655,0.004816667,0.100833333,0.013033333,0.031733333,0.00105,0.004516667,0.0012,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.08265,0.000933367,2016,1,1,Friday,53,5,32,Morning,0.834283333,0.003066667,0.2506969683753565,0.0324350241333207,0.0152044239123327,0.0045062613146452,0.0128,0.0,0.0130717787394903,0.0295332401803922
33,33,2016-01-01 05:33:00,1.67e-05,0.256016667,0.004816667,0.10915,0.013033333,0.031683333,0.001066667,0.0045,0.001183333,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.0832499999999999,0.0009,2016,1,1,Friday,53,5,33,Morning,0.840433333,0.003066667,0.2565018759340594,0.0368999436944719,0.0142352385549155,0.0045165363228358,0.0132,0.012780617432478,0.0130492463192097,0.0294251142581594
34,34,2016-01-01 05:34:00,1.67e-05,0.256183333,0.004816667,0.113066667,0.012983333,0.031833333,0.001066667,0.004533333,0.001233333,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.082466667,0.0009,2016,1,1,Friday,53,5,34,Morning,0.869733333,0.00305,0.265935309398664,0.040190263092918,0.0139106970539835,0.0050728454067798,0.0132,0.0626587923428669,0.0130871735969458,0.0292958811748817
35,35,2016-01-01 05:35:00,0.0,0.2553,0.005216667,0.114266667,0.013,0.03175,0.001066667,0.004516667,0.00115,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.0843,0.000916667,2016,1,1,Friday,53,5,35,Morning,0.853883333,0.00305,0.2736701278128841,0.0400949441247449,0.0147576958741055,0.004936289063277,0.0136,0.0,0.0129326875745339,0.0291728645524604
36,36,2016-01-01 05:36:00,1.67e-05,0.256683333,0.004816667,0.116666667,0.013033333,0.0318,0.00105,0.004516667,0.001166667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.084083333,0.000933367,2016,1,1,Friday,53,5,36,Morning,0.8491,0.003083333,0.2801731619745956,0.0443513062264371,0.0151556531662298,0.0055192306154045,0.014,0.0384510560544126,0.0132822751695639,0.0308792156527194
37,37,2016-01-01 05:37:00,0.0,0.2542,0.004883333,0.119133333,0.013116667,0.0317,0.001066667,0.0045,0.001216667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.2193,0.0008333329999999,2016,1,1,Friday,53,5,37,Morning,1.013333333,0.00305,0.2884946008160944,0.0406118505783155,0.0151676513167731,0.0054988731472046,0.0144,0.0,0.0133408869468031,0.030745705637165
38,38,2016-01-01 05:38:00,1.67e-05,0.2478,0.004983333,0.120566667,0.013316667,0.086216667,0.00115,0.00445,0.00135,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.4366166669999999,0.000700033,2016,1,1,Friday,53,5,38,Morning,1.3159,0.003033333,0.2951962171727151,0.0444616942557921,0.014654429251355,0.0055858624700503,0.0148,0.0927385049773825,0.013340646905453,0.0323795195050839
39,39,2016-01-01 05:39:00,6.67e-05,0.23785,0.005116667,0.122116667,0.01355,0.119366667,0.0012,0.00445,0.001483333,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.702366666,0.0005834,2016,1,1,Friday,53,5,39,Morning,1.654516667,0.00305,0.3024348401430091,0.0409173155755334,0.014484016126165,0.0055467373588956,0.0152,0.0004410309895552,0.0130341074215527,0.0323907119034039
40,40,2016-01-01 05:40:00,5e-05,0.242433333,0.00555,0.1224,0.01355,0.031666667,0.001083333,0.004483333,0.001166667,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.703766667,0.000616667,2016,1,1,Friday,53,5,40,Morning,1.582083333,0.003066667,0.3107364436243911,0.040089952655739,0.0142509248641366,0.0060058882617777,0.0166,0.0,0.0132097052328537,0.0322229761878961
41,41,2016-01-01 05:41:00,5e-05,0.246733333,0.005133333,0.122366667,0.013483333,0.03155,0.00105,0.004383333,0.001383333,36.14,0.62,10.0,29.26,1016.91,9.18,0.75,282.0,0.0,24.4,0.0,0.640416667,0.000649967,2016,1,1,Friday,53,5,41,Morning,1.440416667,0.0032,0.3160638156616726,0.0442455106087095,0.013935836118475,0.005946342700791,0.016,0.0333086358469925,0.0152644865089807,0.0338255607769482
